Survey_Id,Year,Sex,Hispanic_Origin,County_FIPS,Geography,White,Black,Indian,Asian,Pacific Islander
cen42010,4/1/2010,Female,Hispanic,51001,"Accomack County, Virginia",1163,51,53,5,16
cen42010,4/1/2010,Female,Not Hispanic,51001,"Accomack County, Virginia",10545,5122,152,125,22
cen42010,4/1/2010,Female,Total,51001,"Accomack County, Virginia",11708,5173,205,130,38
cen42010,4/1/2010,Male,Hispanic,51001,"Accomack County, Virginia",1461,63,54,7,13
cen42010,4/1/2010,Male,Not Hispanic,51001,"Accomack County, Virginia",10139,4367,166,110,33
cen42010,4/1/2010,Male,Total,51001,"Accomack County, Virginia",11600,4430,220,117,46
cen42010,4/1/2010,Both Sexes,Hispanic,51001,"Accomack County, Virginia",2624,114,107,12,29
cen42010,4/1/2010,Both Sexes,Not Hispanic,51001,"Accomack County, Virginia",20684,9489,318,235,55
cen42010,4/1/2010,Both Sexes,Total,51001,"Accomack County, Virginia",23308,9603,425,247,84
est42010,4/1/2010,Female,Hispanic,51001,"Accomack County, Virginia",1163,51,53,5,16
est42010,4/1/2010,Female,Not Hispanic,51001,"Accomack County, Virginia",10544,5122,152,125,22
est42010,4/1/2010,Female,Total,51001,"Accomack County, Virginia",11707,5173,205,130,38
est42010,4/1/2010,Male,Hispanic,51001,"Accomack County, Virginia",1461,63,54,7,13
est42010,4/1/2010,Male,Not Hispanic,51001,"Accomack County, Virginia",10138,4367,166,110,33
est42010,4/1/2010,Male,Total,51001,"Accomack County, Virginia",11599,4430,220,117,46
est42010,4/1/2010,Both Sexes,Hispanic,51001,"Accomack County, Virginia",2624,114,107,12,29
est42010,4/1/2010,Both Sexes,Not Hispanic,51001,"Accomack County, Virginia",20682,9489,318,235,55
est42010,4/1/2010,Both Sexes,Total,51001,"Accomack County, Virginia",23306,9603,425,247,84
est72010,7/1/2010,Female,Hispanic,51001,"Accomack County, Virginia",1161,56,56,6,9
est72010,7/1/2010,Female,Not Hispanic,51001,"Accomack County, Virginia",10547,5123,129,132,19
est72010,7/1/2010,Female,Total,51001,"Accomack County, Virginia",11708,5179,185,138,28
est72010,7/1/2010,Male,Hispanic,51001,"Accomack County, Virginia",1434,63,62,7,8
est72010,7/1/2010,Male,Not Hispanic,51001,"Accomack County, Virginia",10130,4414,153,118,24
est72010,7/1/2010,Male,Total,51001,"Accomack County, Virginia",11564,4477,215,125,32
est72010,7/1/2010,Both Sexes,Hispanic,51001,"Accomack County, Virginia",2595,119,118,13,17
est72010,7/1/2010,Both Sexes,Not Hispanic,51001,"Accomack County, Virginia",20677,9537,282,250,43
est72010,7/1/2010,Both Sexes,Total,51001,"Accomack County, Virginia",23272,9656,400,263,60
est72010,7/1/2010,Female,Hispanic,51003,"Albemarle County, Virginia",2229,192,175,53,25
est72010,7/1/2010,Female,Not Hispanic,51003,"Albemarle County, Virginia",41388,5465,295,2884,42
est72010,7/1/2010,Female,Total,51003,"Albemarle County, Virginia",43617,5657,470,2937,67
est72010,7/1/2010,Male,Hispanic,51003,"Albemarle County, Virginia",2613,201,186,56,26
est72010,7/1/2010,Male,Not Hispanic,51003,"Albemarle County, Virginia",37846,4998,269,2591,46
est72010,7/1/2010,Male,Total,51003,"Albemarle County, Virginia",40459,5199,455,2647,72
est72010,7/1/2010,Both Sexes,Hispanic,51003,"Albemarle County, Virginia",4842,393,361,109,51
est72010,7/1/2010,Both Sexes,Not Hispanic,51003,"Albemarle County, Virginia",79234,10463,564,5475,88
est72010,7/1/2010,Both Sexes,Total,51003,"Albemarle County, Virginia",84076,10856,925,5584,139
est72010,7/1/2010,Female,Hispanic,51005,"Alleghany County, Virginia",72,10,4,1,1
est72010,7/1/2010,Female,Not Hispanic,51005,"Alleghany County, Virginia",7768,425,39,31,6
est72010,7/1/2010,Female,Total,51005,"Alleghany County, Virginia",7840,435,43,32,7
est72010,7/1/2010,Male,Hispanic,51005,"Alleghany County, Virginia",92,9,3,2,0
